Memory Map for PID=26380
====================================================================================================
       BaseAddress       Size    State  Prot     Type
0x00000000050F0000       1000   COMMIT    RW  PRIVATE
0x00000000050F1000       F000     FREE NOACC     NONE
0x0000000005100000       F000   COMMIT    RW  PRIVATE
0x000000000510F000       1000  RESERVE    00  PRIVATE
0x0000000005110000      35000  RESERVE    00  PRIVATE
0x0000000005145000       3000   COMMIT    RW  PRIVATE
0x0000000005148000       8000   COMMIT    RW  PRIVATE
0x0000000005150000       1000   COMMIT    RW   MAPPED
0x0000000005151000       F000     FREE NOACC     NONE
0x0000000005160000       F000   COMMIT    RW  PRIVATE
0x000000000516F000       1000  RESERVE    00  PRIVATE
0x0000000005170000       1000   COMMIT    RW  PRIVATE
0x0000000005171000      34000  RESERVE    00  PRIVATE
0x00000000051A5000       B000     FREE NOACC     NONE
0x00000000051B0000       1000   COMMIT    RW   MAPPED
0x00000000051B1000       F000     FREE NOACC     NONE
0x00000000051C0000       3000   COMMIT    RW  PRIVATE
0x00000000051C3000       D000  RESERVE    00  PRIVATE
0x00000000051D0000       7000   COMMIT    RW  PRIVATE
0x00000000051D7000       9000  RESERVE    00  PRIVATE
0x00000000051E0000      35000  RESERVE    00  PRIVATE
0x0000000005215000       3000   COMMIT    RW  PRIVATE
0x0000000005218000       8000   COMMIT    RW  PRIVATE
0x0000000005220000       1000   COMMIT     R   MAPPED
0x0000000005221000       F000     FREE NOACC     NONE
0x0000000005230000      11000   COMMIT     R   MAPPED
0x0000000005241000       F000     FREE NOACC     NONE
0x0000000005250000       F000   COMMIT    RW  PRIVATE
0x000000000525F000       1000  RESERVE    00  PRIVATE
0x0000000005260000       F000   COMMIT    RW  PRIVATE
0x000000000526F000       1000  RESERVE    00  PRIVATE
0x0000000005270000      FD000  RESERVE    00  PRIVATE
0x000000000536D000       2000   COMMIT    RW  PRIVATE
0x000000000536F000       1000   COMMIT    RW  PRIVATE
0x0000000005370000       F000   COMMIT    RW  PRIVATE
0x000000000537F000       1000  RESERVE    00  PRIVATE
0x0000000005380000      FA000  RESERVE    00  PRIVATE
0x000000000547A000       2000   COMMIT    RW  PRIVATE
0x000000000547C000       4000   COMMIT    RW  PRIVATE
0x0000000005480000       1000   COMMIT     R   MAPPED
0x0000000005481000       F000     FREE NOACC     NONE
0x0000000005490000      10000   COMMIT     R   MAPPED
0x00000000054A0000       5000   COMMIT     R   MAPPED
0x00000000054A5000       B000     FREE NOACC     NONE
0x00000000054B0000       2000   COMMIT    RW  PRIVATE
0x00000000054B2000       E000  RESERVE    00  PRIVATE
0x00000000054C0000       1000   COMMIT    RW  PRIVATE
0x00000000054C1000      7F000  RESERVE    00  PRIVATE
0x0000000005540000      40000     FREE NOACC     NONE
0x0000000005580000      35000  RESERVE    00  PRIVATE
0x00000000055B5000       3000   COMMIT    RW  PRIVATE
0x00000000055B8000       8000   COMMIT    RW  PRIVATE
0x00000000055C0000       1000   COMMIT     R   MAPPED
0x00000000055C1000       F000     FREE NOACC     NONE
0x00000000055D0000       3000   COMMIT    RW  PRIVATE
0x00000000055D3000       D000  RESERVE    00  PRIVATE
0x00000000055E0000      FC000  RESERVE    00  PRIVATE
0x00000000056DC000       2000   COMMIT    RW  PRIVATE
0x00000000056DE000       2000   COMMIT    RW  PRIVATE
0x00000000056E0000      35000  RESERVE    00  PRIVATE
